Название объекта,Цена,Расположение,Район,Количество комнат,Площадь (м²),Дополнительные параметры
Отдельный дом ,120 000 000 〒,"Алатауский р-н, мкр Заря Востока 13 — улица Гвардейская",Алатауский,8,141,Floor: 2;  Construction year: 2014
Отдельный дом ,290 000 000 〒,"Бостандыкский р-н, мкр Ерменсай, Талапты 40",Бостандыкский,10,610,
Отдельный дом ,125 000 000 〒,"Турксибский р-н, мкр Нуршашкан (Колхозши) 44 — Дулдул",Турксибский,5,220,Floor: 2;  Construction year: 2020
Отдельный дом ,55 000 000 〒,"Бостандыкский р-н, мкр Актобе 8 — Раугаш",Бостандыкский,3,120,Floor: 2;  Construction year: 1998
Отдельный дом ,66 000 000 〒,"Алатауский р-н, мкр Улжан-1 — Ниже  рыскулова по тилендиева 2,5 км",Алатауский,5,170,Floor: 1;  Construction year: 2015
Отдельный дом ,53 500 000 〒,"Алатауский р-н, мкр Алгабас, Акыртас 32",Алатауский,4,230,Floor: 2;  Construction year: 2012
Отдельный дом ,210 000 000 〒,"Бостандыкский р-н, мкр Ерменсай, Талапты",Бостандыкский,7,360,Floor: 3;  Construction year: 2020
Отдельный дом ,650 000 000 〒,"Бостандыкский р-н, мкр Хан Тенгри 153 — Выше президентского парка,  вдоль речки  Большая  АЛМАТИНКА",Бостандыкский,6,300,Floor: 2;  Construction year: 2004
Дача ,30 000 000 〒,"Медеуский р-н, мкр Бутаковка",Медеуский,2,30,
Отдельный дом ,96 000 000 〒,"Алатауский р-н, мкр Мадениет",Алатауский,6,220,Floor: 2;  Construction year: 2019
Отдельный дом ,34 900 000 〒,"Турксибский р-н, Осипенко 27",Турксибский,3,67.7,Floor: 1;  Construction year: 2009
Отдельный дом ,220 000 000 〒,"Медеуский р-н, Оспанова 25",Медеуский,5,504,Floor: 3;  Construction year: 2012
Отдельный дом ,45 000 000 〒,"Медеуский р-н, Кульджинский тракт 25",Медеуский,12,200,Floor: 1;  Construction year: 2014
Отдельный дом ,85 000 000 〒,"Наурызбайский р-н, мкр Акжар, Бекешева 37 — Бекешева",Наурызбайский,5,140,Floor: 1;  Construction year: 1987
Отдельный дом ,38 000 000 〒,"Жетысуский р-н, Бурхан 6 — Ферганская",Жетысуский,6,120,Floor: 1;  Construction year: 1980
Отдельный дом ,70 000 000 〒,"Бостандыкский р-н, Булакты 1 — Арайлы",Бостандыкский,5,136,Floor: 2;  Construction year: 2014
Отдельный дом ,295 000 000 〒,"Наурызбайский р-н, мкр Акжар — Береке",Наурызбайский,5,377,Floor: 2;  Construction year: 2020
Дача ,15 000 000 〒,"Турксибский р-н, мкр 13-й военный городок, Мкр 13-й военный городок 4 — РВ 90",Турксибский,4,80,Floor: 1;  Construction year: 2017
Отдельный дом ,175 000 000 〒,"Медеуский р-н, мкр Думан-1, Карашаш 25",Медеуский,10,380,Floor: 4;  Construction year: 2017
Отдельный дом ,98 000 000 〒,"Ауэзовский р-н, мкр Достык хх — Выше Толе би",Ауэзовский,10,385,Floor: 3;  Construction year: 1998
Отдельный дом ,130 000 000 〒,"Бостандыкский р-н, мкр Хан Тенгри, СО Свежесть 35 — Дулати",Бостандыкский,5,150,Floor: 3;  Construction year: 2005
Часть дома ,21 000 000 〒,"Турксибский р-н, Гете — Кожедуба",Турксибский,2,50,Construction year: 1979
Отдельный дом ,120 000 000 〒,"Алатауский р-н, мкр Акбулак — Рыскулова Шарипова",Алатауский,5,143.6,Floor: 2;  Construction year: 2009
Отдельный дом ,348 500 000 〒,"Медеуский р-н, мкр Коктобе, ул. Бигельдинов 20 — Восточка уг. ул Радлова",Медеуский,6,480,Floor: 4;  Construction year: 2009
Отдельный дом ,33 000 000 〒,"Алатауский р-н, мкр Мадениет, Рахат — Индустриальная зона",Алатауский,4,100,Floor: 2;  Construction year: 2020
Отдельный дом ,53 500 000 〒,"Алатауский р-н, мкр Алгабас, Акыртас 32",Алатауский,4,230,Floor: 2;  Construction year: 2012
Отдельный дом ,237 337 816 〒,"Медеуский р-н, Бегалина — Бекхожина",Медеуский,8,200,Floor: 3;  Construction year: 2017
Отдельный дом ,70 000 000 〒,"Алатауский р-н, мкр Шанырак-6, Дайырова 45 — Рынок Кенжехан",Алатауский,6,145,Floor: 1;  Construction year: 2011
Отдельный дом ,177 777 777 〒,"Наурызбайский р-н, мкр Калкаман-2 161 — Байкен Ашимова",Наурызбайский,5,150,Floor: 1;  Construction year: 2018
Отдельный дом ,95 000 000 〒,"Наурызбайский р-н, мкр Таусамалы, Центральная 75",Наурызбайский,4,208,Floor: 2
Отдельный дом ,270 000 000 〒,"Ауэзовский р-н, мкр Мамыр-4 14 — проспект Абая",Ауэзовский,18,739.1,Floor: 3;  Construction year: 2009
Часть дома ,25 000 000 〒,"Турксибский р-н, Ломоносова 5 — Чирчикская",Турксибский,3,80,Floor: 1
Отдельный дом ,260 000 000 〒,"Бостандыкский р-н, Хан Тенгри 37",Бостандыкский,6,285,Floor: 2;  Construction year: 2009
Отдельный дом ,75 000 000 〒,"Медеуский р-н, мкр Думан-1, Менделеева — Чаплина",Медеуский,3,79.6,Floor: 1;  Construction year: 2002
Отдельный дом ,55 000 000 〒,"Наурызбайский р-н, мкр Акжар",Наурызбайский,4,114,Floor: 1;  Construction year: 2010
Отдельный дом ,40 990 000 〒,"Турксибский р-н, Папанина 84а — Папанина шаумяна",Турксибский,3,80,Floor: 1;  Construction year: 1998
Отдельный дом ,65 000 000 〒,"Турксибский р-н, мкр Маяк 46 Б — Озеро Аэропорта",Турксибский,5,100,Floor: 1
Часть дома ,20 800 000 〒,"Наурызбайский р-н, мкр Курамыс, Карибай акына 2/4 — Ушконыр",Наурызбайский,3,55,Construction year: 1980
Отдельный дом ,71 900 000 〒,"СТ АЭВРЗ 55 — Байконурская, Медеуский район",,3,110,Floor: 2;  Construction year: 2018
Отдельный дом ,32 000 000 〒,"Алатауский р-н, мкр Шанырак-2, Ул.Жалантос бахадур — Пересечение с ул. Аристова",Алатауский,4,105,Floor: 1;  Construction year: 1997
Отдельный дом ,126 000 000 〒,"Наурызбайский р-н, мкр Шугыла, Елисейские поля 135",Наурызбайский,8,300,Floor: 3;  Construction year: 2018
Отдельный дом ,29 700 000 〒,"Алатауский р-н, мкр Алгабас, Алгабас ул.Айнамкоз 2",Алатауский,4,85,Floor: 1;  Construction year: 2007
Отдельный дом ,370 000 000 〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик), Мкр Нурлытау",Бостандыкский,7,330,Floor: 3;  Construction year: 2015
Отдельный дом ,70 000 000 〒,"Алатауский р-н, мкр Шанырак-1",Алатауский,5,250,Floor: 2;  Construction year: 2024
Отдельный дом ,50 000 000 〒,"Турксибский р-н, мкр Кайрат, Жаяу Муса 35",Турксибский,5,111,Floor: 1;  Construction year: 2003
Отдельный дом ,65 000 000 〒,"Жетысуский р-н, мкр Айнабулак-3",Жетысуский,6,176,Floor: 2;  Construction year: 2009
Отдельный дом ,142 000 000 〒,"Алатауский р-н, мкр Дархан 82",Алатауский,7,350,Floor: 2;  Construction year: 2020
Отдельный дом ,100 000 000 〒,"Алатауский р-н, мкр Шанырак-2, Аубакирова 157",Алатауский,5,107,Floor: 1;  Construction year: 2000
Отдельный дом ,155 000 000 〒,"Бостандыкский р-н, мкр Нур Алатау, Жанар 37",Бостандыкский,5,168.4,Floor: 2;  Construction year: 2019
Отдельный дом ,50 000 000 〒,"Алатауский р-н, мкр Шанырак-2, Искакова 64 — Искакова",Алатауский,6,167.2,Floor: 2;  Construction year: 2018
Отдельный дом ,65 000 000 〒,"Турксибский р-н, мкр Алтай-2, Поддубного 7",Турксибский,5,150,Floor: 1;  Construction year: 2012
Часть дома ,37 000 000 〒,"Алатауский р-н, Петрова 3 — Ташкентская Рыскулова",Алатауский,2,46,Floor: 1;  Construction year: 1969
Часть дома ,28 000 000 〒,"Жетысуский р-н, Ботаническая 52 — Сейфуллина Рыскулова",Жетысуский,4,88,Floor: 1;  Construction year: 1982
Отдельный дом ,125 000 000 〒,"Алатауский р-н, мкр Акбулак — Лизунова-шарипова",Алатауский,6,270,Floor: 3;  Construction year: 2006
Отдельный дом ,52 000 000 〒,"Алатауский р-н, мкр Мадениет 126 — Байқұт",Алатауский,5,150,Floor: 1;  Construction year: 2022
Отдельный дом ,95 000 000 〒,"Наурызбайский р-н, мкр Акжар — Султанбаева Уг Арман",Наурызбайский,7,180,Floor: 2;  Construction year: 2007
Отдельный дом ,52 000 000 〒,"Медеуский р-н, Жетысу 44 — Кулджинский тракт",Медеуский,4,122,Floor: 2;  Construction year: 2013
Отдельный дом ,70 000 000 〒,"Жетысуский р-н, Уссурийская улица 34",Жетысуский,5,104.2,Floor: 1;  Construction year: 1954
Отдельный дом ,55 000 000 〒,"Алатауский р-н, мкр Улжан-1, Жалайыр 32",Алатауский,8,132,Floor: 2;  Construction year: 2006
Отдельный дом ,67 500 000 〒,"Алатауский р-н, мкр Айгерим-2 — Байтенова Н",Алатауский,5,150,
Отдельный дом ,60 000 000 〒,"Алатауский р-н, мкр Айгерим-2",Алатауский,4,110,Construction year: 2005
Отдельный дом ,80 000 000 〒,"Алатауский р-н, мкр Ожет — Бекболата",Алатауский,4,78,Floor: 1;  Construction year: 1978
Отдельный дом ,90 000 000 〒,"Бостандыкский р-н, мкр Баганашыл, Тан 18",Бостандыкский,5,180,Floor: 2;  Construction year: 2006
Отдельный дом ,85 000 000 〒,"Жетысуский р-н, Беспакова Мукатая — Белинского-Тесленко",Жетысуский,4,185.5,Floor: 5.;  Construction year: 2018
Отдельный дом ,32 000 000 〒,"Алатауский р-н, мкр Ожет, Шалкоде 54",Алатауский,3,75,Floor: 1
Отдельный дом ,141 000 000 〒,"Наурызбайский р-н, мкр Таусамалы",Наурызбайский,7,383.3,Floor: 3;  Construction year: 2014
Отдельный дом ,37 500 000 〒,"Алатауский р-н, мкр Теректы 18",Алатауский,5,109.6,Floor: 1;  Construction year: 2014
Отдельный дом ,52 000 000 〒,"Алатауский р-н, мкр Мадениет",Алатауский,4,170,Floor: 1;  Construction year: 2024
Отдельный дом ,78 500 000 〒,"Алатауский р-н, мкр Рахат Шоган Абыз 84 — Шоган Абыз",Алатауский,5,280,Floor: 1;  Construction year: 2017
Отдельный дом ,55 000 000 〒,"Алатауский р-н, мкр Ожет",Алатауский,5,90,Floor: 2;  Construction year: 2010
Отдельный дом ,64 250 000 〒,"Жетысуский р-н, Гастелло",Жетысуский,5,180,Floor: 2;  Construction year: 2015
Отдельный дом ,77 000 000 〒,"Медеуский р-н, мкр Аскартау 262",Медеуский,3,130,Floor: 2;  Construction year: 2011
Отдельный дом ,245 000 000 〒,"Медеуский р-н, мкр Коктобе — Қыз Жібек",Медеуский,6,265,Floor: 2;  Construction year: 2022
Отдельный дом ,100 000 000 〒,"Турксибский р-н, мкр Альмерек, ПК Кунаева 1/2",Турксибский,6,170,Floor: 2;  Construction year: 2021
Отдельный дом ,42 000 000 〒,"Алатауский р-н, мкр Мадениет, Мадениет  Созак 13",Алатауский,4,100,Floor: 1;  Construction year: 2015
Отдельный дом ,85 000 000 〒,"Алатауский р-н, мкр Акбулак, Томанова 17 — Сухе батыра",Алатауский,5,150,Floor: 1;  Construction year: 2005
Отдельный дом ,58 000 000 〒,"Алатауский р-н, мкр Теректы",Алатауский,8,139,Floor: 2;  Construction year: 2013
Отдельный дом ,43 000 000 〒,"Алатауский р-н, мкр Шанырак-2 51 — Каракемер 51",Алатауский,4,88.7,Floor: 1;  Construction year: 2014
Отдельный дом ,105 000 000 〒,"Медеуский р-н, Полетаева 77",Медеуский,7,210,Floor: 2;  Construction year: 2016
Отдельный дом ,72 000 000 〒,"Турксибский р-н, Акан сери 123 — Варшавская",Турксибский,5,130,Floor: 1;  Construction year: 1986
Отдельный дом ,70 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2, Смайылова 3",Наурызбайский,4,85,
Часть дома ,33 000 000 〒,"Алатауский р-н, мкр Шанырак-2 18 — Аубакирова",Алатауский,4,120,Construction year: 2008
Отдельный дом ,80 000 000 〒,"Жетысуский р-н, Чуйская 30",Жетысуский,3,70,
Дача ,45 000 000 〒,"Медеуский р-н, М-н Широкая щель, ул.Дошкольник 11",Медеуский,3,60,
Отдельный дом ,200 000 000 〒,"Наурызбайский р-н, мкр Акжар 67 — Береке 1",Наурызбайский,6,260,Floor: 2;  Construction year: 2018
Отдельный дом ,50 000 000 〒,Алтын сака 58,,4,142,Floor: 1;  Construction year: 2019
Отдельный дом ,25 000 000 〒,"Алатауский р-н, Центральная 124 — ПКСТ Теплоэнергетик район ТЭЦ-2",Алатауский,2,68,Floor: 2;  Construction year: 1990
Отдельный дом ,160 000 000 〒,"Турксибский р-н, Айша биби 78",Турксибский,10,500,Floor: 4;  Construction year: 1999
Отдельный дом ,160 000 000 〒,"Бостандыкский р-н, мкр Ерменсай, Торангы 33",Бостандыкский,5,200,Floor: 2;  Construction year: 2022
Отдельный дом ,130 000 000 〒,"Медеуский р-н, Бегалина 154/13 — ул. Бегалина - ул. Дачный переулок",Медеуский,5,137,Floor: 2;  Construction year: 2005
Отдельный дом ,65 000 000 〒,"Алатауский р-н, мкр Заря Востока 38 — Кудиярбек Шотаманулы",Алатауский,4,120,Floor: 1;  Construction year: 1990
Отдельный дом ,93 000 000 〒,"Турксибский р-н, Жарылгасова 18",Турксибский,7,160,Floor: 2;  Construction year: 2009
Отдельный дом ,38 500 000 〒,"Медеуский р-н, Беимбетова 5а",Медеуский,4,54.5,Floor: 1;  Construction year: 1960
Отдельный дом ,70 000 000 〒,"Алатауский р-н, мкр Шанырак-2 — ул Жанкожа батыра",Алатауский,3,110,Floor: 1;  Construction year: 2013
Отдельный дом ,152 000 000 〒,"Бостандыкский р-н, мкр Нур Алатау 36",Бостандыкский,5,170,Floor: 2;  Construction year: 2020
Отдельный дом ,98 000 000 〒,"Турксибский р-н, Папанина — Нарынкольская",Турксибский,9,400,Floor: 2;  Construction year: 2019
Часть дома ,22 500 000 〒,"Алатауский р-н, мкр Карасу 37 — Торговый переулок",Алатауский,4,80,
Отдельный дом ,115 000 000 〒,"Наурызбайский р-н, мкр Шугыла — улица Жуалы",Наурызбайский,7,300,Floor: 2;  Construction year: 2007
Отдельный дом ,340 000 000 〒,"Медеуский р-н, Каирбекова 70 — Толе би",Медеуский,9,375,Floor: 3;  Construction year: 2002
Отдельный дом ,220 000 000 〒,"Медеуский р-н, мкр Коктобе, Таттимбета382 382 — Таттимбета 382",Медеуский,5,200,
Дача ,80 000 000 〒,"Наурызбайский р-н, Караманов 11",Наурызбайский,6,180,Floor: 2;  Construction year: 2021
Отдельный дом ,60 000 000 〒,"Ауэзовский р-н, мкр Достык 205",Ауэзовский,5,87.8,Floor: 1;  Construction year: 1968
Отдельный дом ,80 000 000 〒,"Турксибский р-н, Свободная 53",Турксибский,5,110,Floor: 2;  Construction year: 2002
Отдельный дом ,132 000 000 〒,"Наурызбайский р-н, мкр Курамыс",Наурызбайский,10,240,Floor: 2;  Construction year: 2005
Часть дома ,60 000 000 〒,"Медеуский р-н, мкр Горный Гигант 113 — Тайманова-Азербаева",Медеуский,2,35,Floor: 1
Отдельный дом ,55 000 000 〒,"Алатауский р-н, мкр 6-й градокомплекс, 6-й градокомплекс 49",Алатауский,4,139,Floor: 1;  Construction year: 2002
Отдельный дом ,55 000 000 〒,"Медеуский р-н, мкр Думан-1 7 — Бригадная 7",Медеуский,4,110,Floor: 2;  Construction year: 1969
Отдельный дом ,55 000 000 〒,"Алатауский р-н, мкр Айгерим-2, Акатаева 44А — Ынтымак / Акатаева",Алатауский,4,80,Floor: 1;  Construction year: 1999
Отдельный дом ,160 000 000 〒,"Медеуский р-н, мкр Думан-1 12 — Казыгурт",Медеуский,5,300,Floor: 2;  Construction year: 2010
Отдельный дом ,55 000 000 〒,"Ауэзовский р-н, мкр Алтын Бесик 13",Ауэзовский,4,135,Floor: 2;  Construction year: 2013
Отдельный дом ,65 000 000 〒,"Турксибский р-н, Щелково 103а — Суюнбая",Турксибский,5,160,Floor: 2;  Construction year: 2008
Отдельный дом ,200 000 000 〒,"Жетысуский р-н, Хамиди — Шаврова",Жетысуский,4,330,Floor: 2;  Construction year: 2022
Отдельный дом ,65 000 000 〒,"Медеуский р-н, мкр Думан-1 41 — Алатау",Медеуский,4,150,Floor: 1;  Construction year: 2002
Часть дома ,35 000 000 〒,"Турксибский р-н, Енисейская",Турксибский,3,50,Floor: 1;  Construction year: 1974
Отдельный дом ,20 000 000 〒,"Наурызбайский р-н, мкр Тастыбулак, Вишневая 137а",Наурызбайский,6,110,Floor: 2
Отдельный дом ,380 000 000 〒,"Алатауский р-н, мкр Карасу 13 — Мурат Монкеулы",Алатауский,27,462.6,Floor: 3;  Construction year: 2015
Отдельный дом ,430 000 000 〒,"Медеуский р-н, мкр Коктобе — Космодемьянской",Медеуский,20,1300,Floor: 3;  Construction year: 2015
Часть дома ,55 000 000 〒,"Бостандыкский р-н, мкр Актобе, ул Саурык Батыра 2",Бостандыкский,4,105,Floor: 1;  Construction year: 1986
Отдельный дом ,1 850 000 000 〒,"Медеуский р-н, мкр Юбилейный, Ондасынова — Достык",Медеуский,7,1000,Floor: 2
Отдельный дом ,77 000 000 〒,"Медеуский р-н, Алатауская трасса 33",Медеуский,5,168,Floor: 2;  Construction year: 2023
Отдельный дом ,40 000 000 〒,"Жетысуский р-н, ул Жана Арка 23",Жетысуский,3,86,Floor: 1;  Construction year: 1980
Отдельный дом ,189 000 000 〒,"Наурызбайский р-н, мкр Таусамалы",Наурызбайский,4,250,Floor: 2;  Construction year: 2022
Отдельный дом ,160 000 000 〒,"Медеуский р-н, мкр Горный Гигант",Медеуский,6,127,Floor: 1;  Construction year: 1978
Отдельный дом ,45 000 000 〒,"Медеуский р-н, мкр Каменское плато, ул Бахадура 12",Медеуский,4,120,Floor: 2;  Construction year: 2007
Отдельный дом ,120 000 000 〒,"Медеуский р-н, мкр Каменское плато, Оспанова 77",Медеуский,5,210,Floor: 2;  Construction year: 2007
Отдельный дом ,45 000 000 〒,"Турксибский р-н, мкр Нуршашкан (Колхозши) Жакут 72",Турксибский,4,110,Floor: 1
Отдельный дом ,55 000 000 〒,"Алатауский р-н, мкр Улжан-1 7 — Кайнар",Алатауский,5,96,Floor: 1;  Construction year: 2007
Часть дома ,32 000 000 〒,"Турксибский р-н, Декабристов 25",Турксибский,3,96.2,Floor: 1;  Construction year: 1975
Отдельный дом ,25 000 000 〒,Турдиева — Монкеби Фариза Онгарсынова,,4,120,
Отдельный дом ,47 000 000 〒,"Наурызбайский р-н, мкр Акжар, Бекешева",Наурызбайский,2,50,Floor: 1;  Construction year: 2008
Отдельный дом ,58 000 000 〒,"Медеуский р-н, мкр Каменское плато, Горный садовод 118",Медеуский,4,180,Floor: 2;  Construction year: 2020
Отдельный дом ,33 000 000 〒,"Турксибский р-н, мкр 13-й военный городок, Суюнбая 188 — Суюнбая",Турксибский,3,70,Floor: 1;  Construction year: 1949
Отдельный дом ,350 000 000 〒,"Медеуский р-н, Каирбекова 70 — Толе би",Медеуский,8,375,Floor: 3;  Construction year: 2002
Отдельный дом ,108 000 000 〒,"Турксибский р-н, мкр Альмерек 31",Турксибский,8,350,Floor: 3;  Construction year: 2013
Отдельный дом ,50 000 000 〒,"Алатауский р-н, мкр Теректы 133 — Апорта",Алатауский,4,204,Floor: 1;  Construction year: 2020
Часть дома ,44 000 000 〒,"Жетысуский р-н, мкр Кемел (Первомайское)",Жетысуский,6,96,Floor: 1;  Construction year: 1976
Отдельный дом ,62 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2, Калкаман мкр — Рядом с горбольницей #7",Наурызбайский,5,101,Floor: 1;  Construction year: 2004
Отдельный дом ,130 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2 — Лапина Трудовая",Наурызбайский,7,500,Floor: 3;  Construction year: 2011
Отдельный дом ,35 000 000 〒,"Наурызбайский р-н, мкр Таужолы",Наурызбайский,3,70,Floor: 2;  Construction year: 2024
Отдельный дом ,43 000 000 〒,"Наурызбайский р-н, мкр Акжар 127 — Шпекбаева",Наурызбайский,2,36,Floor: 1
Отдельный дом ,75 000 000 〒,"Медеуский р-н, мкр Кенсай, Ахмедсафина 45 — По восточке",Медеуский,4,164,Floor: 2
Отдельный дом ,180 000 000 〒,"Ауэзовский р-н, мкр Таугуль-3, Кыстауова 16 — Мадина Ералиева",Ауэзовский,10,320,Floor: 2;  Construction year: 2003
Отдельный дом ,125 000 000 〒,"Наурызбайский р-н, мкр Каргалы, Новая 4а",Наурызбайский,5,170,Floor: 2;  Construction year: 2013
Отдельный дом ,315 000 000 〒,"Наурызбайский р-н, мкр Карагайлы, улица Бокеевой 115",Наурызбайский,6,390,Floor: 2
Часть дома ,22 000 000 〒,"Медеуский р-н, Бестужева — Татибекова",Медеуский,5,82,Floor: 1;  Construction year: 1957
Отдельный дом ,1 580 000 000 〒,"Медеуский р-н, мкр Юбилейный, Кайсенова — Ондасынова",Медеуский,10,850,Floor: 2;  Construction year: 2022
Отдельный дом ,70 000 000 〒,"Алатауский р-н, мкр Теректы, Квартал жетысу 93 — APORT MALL,LEROY MERLIN",Алатауский,5,157.8,Floor: 2;  Construction year: 2011
Отдельный дом ,300 000 000 〒,"Медеуский р-н, мкр Горный Гигант, Жукова 132",Медеуский,7,475,Floor: 2;  Construction year: 2004
Отдельный дом ,45 000 000 〒,"Алатауский р-н, мкр Айгерим-2 14",Алатауский,5,104,Construction year: 2018
Отдельный дом ,170 000 000 〒,"Наурызбайский р-н, мкр Таусамалы 78 — Ниязбекова",Наурызбайский,6,400,Floor: 2;  Construction year: 2007
Отдельный дом ,70 000 000 〒,"Алатауский р-н, Федченко 16Б — Райымбека",Алатауский,5,250,Floor: 1
Отдельный дом ,38 000 000 〒,"Алатауский р-н, мкр Шанырак-2 128/2 — Рахимова 128/2",Алатауский,4,97,Floor: 1;  Construction year: 2010
Часть дома ,25 000 000 〒,"Жетысуский р-н, Шаврова 29 — Потанина",Жетысуский,2,49,Floor: 1
Отдельный дом ,315 000 000 〒,"Медеуский р-н, Ладушкина — Woodland",Медеуский,5,240,Construction year: 2020
Часть дома ,30 000 000 〒,"Турксибский р-н, Туркестанская 9",Турксибский,5,63,Floor: 1;  Construction year: 1970
Отдельный дом ,130 000 000 〒,"Алатауский р-н, мкр 6-й градокомплекс, 6-й градокомплекс",Алатауский,6,256,Floor: 2;  Construction year: 2016
Отдельный дом ,67 000 000 〒,Култегин 20 — Аэропортская Бухтарминская,,5,155,Floor: 1;  Construction year: 2023
Отдельный дом ,50 000 000 〒,"Алатауский р-н, мкр Айгерим-2, Айгерім-2 ш/а Қожаханов 73 — Байтерек",Алатауский,4,97.8,Floor: 1;  Construction year: 2016
Отдельный дом ,85 000 000 〒,"Наурызбайский р-н, мкр Калкаман-2, Молдабекова 18Б",Наурызбайский,4,110,Floor: 1;  Construction year: 2005
Отдельный дом ,30 000 000 〒,"Алатауский р-н, мкр Карасу, Южная 36б",Алатауский,2,59,Floor: 1;  Construction year: 2008
Отдельный дом ,400 000 000 〒,"Медеуский р-н, Зеленстрой 58",Медеуский,5,365,
Отдельный дом ,25 000 000 〒,"Наурызбайский р-н, мкр Тастыбулак 80",Наурызбайский,2,45,Floor: 1;  Construction year: 2021
Отдельный дом ,35 000 000 〒,"Алатауский р-н, мкр Айгерим-1, Наби 110",Алатауский,3,56.4,Floor: 1
Отдельный дом ,45 000 000 〒,"Жетысуский р-н, Крылова 36-1",Жетысуский,3,80,Floor: 1;  Construction year: 1980
Отдельный дом ,60 000 000 〒,"Алатауский р-н, мкр Айгерим-2 53 — Жаңа ғасыр 53",Алатауский,4,100,Floor: 1;  Construction year: 1998
Отдельный дом ,65 000 000 〒,"Турксибский р-н, ул Вавилова",Турксибский,11,255,Floor: 2;  Construction year: 2018
Отдельный дом ,50 000 000 〒,"Медеуский р-н, мкр Думан-2 31",Медеуский,4,150,Floor: 1;  Construction year: 2022
Отдельный дом ,63 000 000 〒,"Алатауский р-н, мкр Акбулак, Мкр Акбулак мамутова 19/3 — Возле алматы арена",Алатауский,3,80,Floor: 1;  Construction year: 2000
Отдельный дом ,55 000 000 〒,"Алатауский р-н, мкр Улжан-1, Улжан-1 ул. Балтабай 35 35 — Жалайырий",Алатауский,3,95,Floor: 1;  Construction year: 2000
Отдельный дом ,75 000 000 〒,"Алатауский р-н, мкр Заря Востока 96 — Биянху",Алатауский,4,100,Floor: 1
Отдельный дом ,50 000 000 〒,"Турксибский р-н, мкр Кайрат 24 — 10 улица",Турксибский,2,60.7,Floor: 1;  Construction year: 2016
Отдельный дом ,120 000 000 〒,"Ауэзовский р-н, мкр Достык, Мкр Достык Таукехана 181 — Шаляпина Момышулы",Ауэзовский,4,122.8,Floor: 1
Отдельный дом ,67 500 000 〒,"Жетысуский р-н, мкр Кемел (Первомайское), Беляева 9",Жетысуский,5,143,Floor: 2;  Construction year: 2013
Отдельный дом ,60 000 000 〒,"Алатауский р-н, мкр 71-й разъезд, Мкр 71-й разъезд",Алатауский,5,220,Floor: 2;  Construction year: 2021
Дача ,10 500 000 〒,Тау Восход 2 35 — Верхняя каскеленская трасса рядом БАКАД,,3,40,Floor: 2
Отдельный дом ,77 000 000 〒,"Алатауский р-н, мкр Карасу, Капал 11",Алатауский,6,87,Floor: 1;  Construction year: 2004
Отдельный дом ,49 500 000 〒,"Медеуский р-н, мкр Думан-1",Медеуский,4,100,Floor: 1;  Construction year: 1996
Отдельный дом ,70 000 000 〒,"Медеуский р-н, мкр Каменское плато — Недалеко от  магазина Фортуна",Медеуский,3,100,Floor: 1;  Construction year: 1989
Часть дома ,23 000 000 〒,"Медеуский р-н, Текемет",Медеуский,2,54,Floor: 1;  Construction year: 1970
Отдельный дом ,48 000 000 〒,"Турксибский р-н, мкр Алтай-2 34 — Уг Садовского 34",Турксибский,5,110,Floor: 1;  Construction year: 1972
Отдельный дом ,55 000 000 〒,"Медеуский р-н, Горный садовод 61 — Ремизовка",Медеуский,4,60,
Отдельный дом ,21 000 000 〒,"Бостандыкский р-н, мкр Ерменсай, Ремизовка бс 294 — Выше городка Асем-тау.",Бостандыкский,4,74,Floor: 2;  Construction year: 1995
Отдельный дом ,100 000 000 〒,"Медеуский р-н, Халиуллина 212",Медеуский,6,240,Floor: 2;  Construction year: 2016
Отдельный дом ,40 000 000 〒,"Алатауский р-н, мкр Карасу 23",Алатауский,3,65,Floor: 1;  Construction year: 1979
Дача ,39 000 000 〒,"Наурызбайский р-н, Клубничная 402",Наурызбайский,4,100,Floor: 2
Отдельный дом ,98 000 000 〒,"Турксибский р-н, Чехова 29",Турксибский,4,160,Floor: 1
Отдельный дом ,200 000 000 〒,"Ауэзовский р-н, мкр Таугуль",Ауэзовский,5,240,Floor: 2;  Construction year: 2005
Отдельный дом ,75 000 000 〒,"Жетысуский р-н, Сельская — Жумабаева",Жетысуский,3,86,Floor: 1;  Construction year: 2006
Отдельный дом ,125 000 000 〒,"Бостандыкский р-н, Ул.Брусиловского 236 — Нет",Бостандыкский,9,162,Floor: 1;  Construction year: 1957
Отдельный дом ,160 000 000 〒,"Наурызбайский р-н, мкр Шугыла — Абай",Наурызбайский,7,410,Floor: 2;  Construction year: 2024
Отдельный дом ,647 400 000 〒,"Медеуский р-н, Достык — Оспанова",Медеуский,5,800,Floor: 3;  Construction year: 2010
Отдельный дом ,120 000 000 〒,"Медеуский р-н, СТ ЗДОРОВЬЕ 89",Медеуский,5,270,
Отдельный дом ,450 000 000 〒,"Медеуский р-н, Талгата Бигельдинова 17",Медеуский,7,500,
Отдельный дом ,220 000 000 〒,"Медеуский р-н, Кошемет 16",Медеуский,5,200,
